Timestamp;Name;Unit;Sample Number;Mean;Min;Max
2024-10-07 10:00:00.000;ntp_last_ntp_synchronization;timestamp;1;2024-10-07 10:25:31;2024-10-07 10:25:31;2024-10-07 10:25:31
2024-10-07 10:00:00.000;disk_occupation;%;1;26;26;26
2024-10-07 10:00:00.000;gps_lat;°;1;51.968360;51.968360;51.968360
2024-10-07 10:00:00.000;gps_long;°;1;4.929167;4.929167;4.929167
2024-10-07 10:00:00.000;gps_alt;m;1;4;4;4
2024-10-07 10:00:00.000;pitch;°;1800;-0.009;-0.066;0.050
2024-10-07 10:00:00.000;roll;°;1800;0.022;-0.014;0.080
2024-10-07 10:00:00.000;internal_temperature;°C;360;22.9;22.9;23.0
2024-10-07 10:00:00.000;internal_RH;%;360;10;10;11
2024-10-07 10:00:00.000;dew_point;°C;360;-9.2;-10.0;-8.5
